nrmse,group,trajectory,model type,belta
3.284372894,0,0,Fair A,0.5
4.28677939,0,1,Fair A,0.5
1.869043596,1,2,Fair A,0.5
1.361229972,1,3,Fair A,0.5
3.453653263,0,0,Fair B,0.5
4.722792539,0,1,Fair B,0.5
1.833084091,1,2,Fair B,0.5
1.342366018,1,3,Fair B,0.5
4.383134797,0,0,Unfair,0.5
5.734462808,0,1,Unfair,0.5
1.308804727,1,2,Unfair,0.5
0.890625373,1,3,Unfair,0.5
3.17189075,0,0,Fair A,0.5
4.696849751,0,1,Fair A,0.5
1.869140782,1,2,Fair A,0.5
1.36181622,1,3,Fair A,0.5
3.336070682,0,0,Fair B,0.5
5.162506479,0,1,Fair B,0.5
1.833669644,1,2,Fair B,0.5
1.343411473,1,3,Fair B,0.5
4.232992586,0,0,Unfair,0.5
6.270852462,0,1,Unfair,0.5
1.305657306,1,2,Unfair,0.5
0.887820581,1,3,Unfair,0.5
3.623163277,0,0,Fair A,0.5
3.676047498,0,1,Fair A,0.5
1.876688564,1,2,Fair A,0.5
1.367825291,1,3,Fair A,0.5
3.884867418,0,0,Fair B,0.5
3.951248145,0,1,Fair B,0.5
1.846027493,1,2,Fair B,0.5
1.35366895,1,3,Fair B,0.5
4.827693151,0,0,Unfair,0.5
4.90095044,0,1,Unfair,0.5
1.302672596,1,2,Unfair,0.5
0.883385929,1,3,Unfair,0.5
4.151789473,0,0,Fair A,0.5
3.662981359,0,1,Fair A,0.5
1.881812288,1,2,Fair A,0.5
1.371004104,1,3,Fair A,0.5
4.515516063,0,0,Fair B,0.5
3.858314601,0,1,Fair B,0.5
1.847369231,1,2,Fair B,0.5
1.35259696,1,3,Fair B,0.5
5.557851387,0,0,Unfair,0.5
4.894859858,0,1,Unfair,0.5
1.320140073,1,2,Unfair,0.5
0.89970092,1,3,Unfair,0.5
3.430668703,0,0,Fair A,0.5
3.607519252,0,1,Fair A,0.5
1.886009636,1,2,Fair A,0.5
1.375934041,1,3,Fair A,0.5
3.628210307,0,0,Fair B,0.5
3.889169362,0,1,Fair B,0.5
1.841465139,1,2,Fair B,0.5
1.348204958,1,3,Fair B,0.5
4.563069914,0,0,Unfair,0.5
4.804657722,0,1,Unfair,0.5
1.320536236,1,2,Unfair,0.5
0.901038785,1,3,Unfair,0.5
3.324072414,0,0,Fair A,0.55
4.088431544,0,1,Fair A,0.55
1.956299451,1,2,Fair A,0.55
1.425112165,1,3,Fair A,0.55
3.531585253,0,0,Fair B,0.55
4.433543086,0,1,Fair B,0.55
1.939188148,1,2,Fair B,0.55
1.422197406,1,3,Fair B,0.55
4.27007123,0,0,Unfair,0.55
5.274484379,0,1,Unfair,0.55
1.436365164,1,2,Unfair,0.55
0.986888442,1,3,Unfair,0.55
3.181890019,0,0,Fair A,0.55
4.201312544,0,1,Fair A,0.55
1.964472925,1,2,Fair A,0.55
1.429517691,1,3,Fair A,0.55
3.338066926,0,0,Fair B,0.55
4.505753828,0,1,Fair B,0.55
1.933996825,1,2,Fair B,0.55
1.415897805,1,3,Fair B,0.55
4.080214579,0,0,Unfair,0.55
5.39034715,0,1,Unfair,0.55
1.433856012,1,2,Unfair,0.55
0.979884141,1,3,Unfair,0.55
3.935241845,0,0,Fair A,0.55
3.400433196,0,1,Fair A,0.55
1.961627201,1,2,Fair A,0.55
1.431589314,1,3,Fair A,0.55
4.235595297,0,0,Fair B,0.55
3.606117984,0,1,Fair B,0.55
1.940524685,1,2,Fair B,0.55
1.422206669,1,3,Fair B,0.55
5.051961932,0,0,Unfair,0.55
4.376870502,0,1,Unfair,0.55
1.443633352,1,2,Unfair,0.55
0.996235851,1,3,Unfair,0.55
3.384868136,0,0,Fair A,0.55
3.946668497,0,1,Fair A,0.55
1.950992659,1,2,Fair A,0.55
1.420570429,1,3,Fair A,0.55
3.567577945,0,0,Fair B,0.55
4.279916806,0,1,Fair B,0.55
1.936363319,1,2,Fair B,0.55
1.419407116,1,3,Fair B,0.55
4.34116163,0,0,Unfair,0.55
5.088415625,0,1,Unfair,0.55
1.423407353,1,2,Unfair,0.55
0.974492072,1,3,Unfair,0.55
3.106774922,0,0,Fair A,0.55
4.161631479,0,1,Fair A,0.55
1.942539336,1,2,Fair A,0.55
1.409778045,1,3,Fair A,0.55
3.299291307,0,0,Fair B,0.55
4.525949562,0,1,Fair B,0.55
1.926667634,1,2,Fair B,0.55
1.40919954,1,3,Fair B,0.55
4.025239825,0,0,Unfair,0.55
5.375189269,0,1,Unfair,0.55
1.437466171,1,2,Unfair,0.55
0.985524516,1,3,Unfair,0.55
3.757086559,0,0,Fair A,0.6
3.649892851,0,1,Fair A,0.6
2.025903103,1,2,Fair A,0.6
1.480310268,1,3,Fair A,0.6
3.978303229,0,0,Fair B,0.6
3.990558462,0,1,Fair B,0.6
2.019867512,1,2,Fair B,0.6
1.480699505,1,3,Fair B,0.6
4.521295905,0,0,Unfair,0.6
4.405209897,0,1,Unfair,0.6
1.654301867,1,2,Unfair,0.6
1.169865449,1,3,Unfair,0.6
3.379814231,0,0,Fair A,0.6
3.729922359,0,1,Fair A,0.6
2.045390642,1,2,Fair A,0.6
1.488327959,1,3,Fair A,0.6
3.641188312,0,0,Fair B,0.6
3.887813083,0,1,Fair B,0.6
2.041789269,1,2,Fair B,0.6
1.493115992,1,3,Fair B,0.6
4.059770301,0,0,Unfair,0.6
4.522885242,0,1,Unfair,0.6
1.646445897,1,2,Unfair,0.6
1.151780518,1,3,Unfair,0.6
3.031656537,0,0,Fair A,0.6
3.747506104,0,1,Fair A,0.6
2.024704119,1,2,Fair A,0.6
1.475238204,1,3,Fair A,0.6
3.201965016,0,0,Fair B,0.6
4.036003955,0,1,Fair B,0.6
2.031033864,1,2,Fair B,0.6
1.487554574,1,3,Fair B,0.6
3.655775834,0,0,Unfair,0.6
4.52738095,0,1,Unfair,0.6
1.639067111,1,2,Unfair,0.6
1.151553997,1,3,Unfair,0.6
3.137725722,0,0,Fair A,0.6
3.849943337,0,1,Fair A,0.6
2.034241237,1,2,Fair A,0.6
1.484308424,1,3,Fair A,0.6
3.368187743,0,0,Fair B,0.6
4.073068575,0,1,Fair B,0.6
2.026492506,1,2,Fair B,0.6
1.481902214,1,3,Fair B,0.6
3.764972877,0,0,Unfair,0.6
4.642976586,0,1,Unfair,0.6
1.646910253,1,2,Unfair,0.6
1.158740269,1,3,Unfair,0.6
3.446701211,0,0,Fair A,0.6
3.608783533,0,1,Fair A,0.6
2.026008492,1,2,Fair A,0.6
1.471645449,1,3,Fair A,0.6
3.673382009,0,0,Fair B,0.6
3.892949137,0,1,Fair B,0.6
2.032379972,1,2,Fair B,0.6
1.489032738,1,3,Fair B,0.6
4.162786489,0,0,Unfair,0.6
4.361380591,0,1,Unfair,0.6
1.644918921,1,2,Unfair,0.6
1.151407254,1,3,Unfair,0.6
3.285010909,0,0,Fair A,0.65
3.400931243,0,1,Fair A,0.65
2.12213105,1,2,Fair A,0.65
1.561674317,1,3,Fair A,0.65
3.474235699,0,0,Fair B,0.65
3.692562451,0,1,Fair B,0.65
2.114066723,1,2,Fair B,0.65
1.550658907,1,3,Fair B,0.65
3.806154457,0,0,Unfair,0.65
3.953747781,0,1,Unfair,0.65
1.796032366,1,2,Unfair,0.65
1.289032903,1,3,Unfair,0.65
3.321669948,0,0,Fair A,0.65
